code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E08000030,402370.2073266176,300150.5617587277,Walsall,1.7,5.4,15.6,35.4,41.9,10648,25252,71975,10658
E08000031,391927.1560931554,299025.89825922786,Wolverhampton,1.6,5.4,15.7,35.3,42.1,9886,22279,69418,9726
E08000032,409659.0884310021,438737.62103745213,Bradford,1.6,5.2,15.1,35.7,42.4,21924,52883,129284,17046
E08000033,401826.6004740079,424977.94008288934,Calderdale,1.3,4.4,13.7,34.6,46.0,9199,19957,55532,8693
E08000034,415746.31287634926,414566.4472809965,Kirklees,1.3,4.6,14.1,35.2,44.8,18857,41776,112439,17012
E08000035,432626.6214649193,436700.8332002002,Leeds,1.3,4.4,13.5,34.2,46.6,35882,73020,231990,33172
E08000036,438985.8296582152,418406.75971173553,Wakefield,1.5,5.2,14.7,34.5,44.1,12950,32221,103426,16044
E08000037,420363.23679809994,560134.1071049009,Gateshead,1.7,5.5,15.1,33.6,44.1,7400,18135,54932,7051
E09000001,532537.3569114779,181161.57634856887,City of London,0.7,2.4,9.1,31.2,56.6,386,499,2760,1706
E09000002,548060.935649168,184924.18477349044,Barking and Dagenham,1.7,5.6,15.2,34.2,43.3,10801,20086,55490,8211
E09000003,524096.0543674573,192317.8659856884,Barnet,1.2,3.5,11.5,32.3,51.5,23760,35920,101785,24710
E09000004,548951.24557513,175727.63776996604,Bexley,1.1,3.6,12.3,34.3,48.7,11593,20988,73640,11764
E09000005,520195.60748611606,185924.7162402023,Brent,1.4,4.2,13.4,33.8,47.2,18564,30956,93506,17971
E09000006,542864.477785522,165665.14095281184,Bromley,0.9,3.0,10.7,33.0,52.4,16708,27359,97180,20875
E09000007,527934.187021173,184579.4344072222,Camden,1.6,4.9,12.2,30.0,51.3,11879,15126,55453,20053
E09000008,533300.0918114532,163554.39982036655,Croydon,1.2,3.8,12.7,34.5,47.9,20311,35258,114645,19191
